,اسم المتحف (عربي),المنطقة الادارية,مدينة/محافظة,الوضع التنظيمي,التصنيف,أيام العمل,ساعات العمل,تاريخ تأسيسه,سعر التذكرة بالريال السعودي,العمل يوم الجمعة
0, المتحف الوطني السعودي,الرياض,الرياض,عام,ثقافي وتاريخي,يوميًا,8:00 صباحًا - 8:00 مساءً,1999,مجاني,نعم
1,متحف الطيبات,مكة المكرمة,جدة,عام, ثقافي وفني وتاريخي,من السبت إلى الخميس,8:00 صباحاً - 12:00 ظهراً | 5:00 مساءً - 9:00 مساءً,1987,80,لا
2,متحف مدائن صالح,المدينة المنورة,العلا,عام,أثري وتاريخي,يوميًا,8:00 صباحًا - 6:00 مساءً,1985,50,نعم
3,متحف تراث الصحراء,المنطقة الشرقية ,الخبر,خاص,تراثي وثقافي,يوميًا,8:00 صباحًا - 8:00 مساءً | الجمعة: 3:00 مساءً - 8:00 مساءً,1990,مجاني,نعم
4,متحف عبد الرؤوف خليل,مكة المكرمة,جدة,خاص,ثقافي وتاريخي,من السبت إلى الخميس,9:00 صباحًا - 12:00 مساءً | 5:00 مساءً - 9:00 مساءً,1987,50,لا
5,متحف الشريف,مكة المكرمة,الطائف,خاص ,تراثي وشعبي,من السبت إلى الخميس,9:00 صباحًا - 6:00 مساءً,1988,30,لا
6,متحف تيم لاب بلا حدود,مكة المكرمة,جدة,عام,فني تفاعلي,يوميًا,1:00 صباحًا - 11:00 مساءً | الخميس والجمعة:  3:00 مساءً - 2:00 صباحًا,2024,100 إلى 150,نعم
7,بينالي الفنون الإسلامية,مكة المكرمة,جدة,عام,تاريخي وفني,يوميًا,10:00 صباحاً - 11:00 مساءً | الجمعة:  5:00 مساءً - 11:00 مساءً,2023,مجاني,نعم
8,متحف بيت نصيف,مكة المكرمة,جدة,عام,ثقافي وتاريخي,يوميًا,8:00 صباحاً - 12:00 منتصف الليل,1872,مجاني,نعم
9,المتحف السعودي للفن المعاصر,الرياض,الرياض,عام,فني معاصر,يوميًا,10:00 صباحًا - 10:00 مساءً,2019,مجاني,نعم
10,متحف الذهب الأسود,الرياض,الرياض,عام,تاريخي ابداعي,يوميًا,8:00 صباحًا - 4:00 مساءً,2020,مجاني,نعم
11,متحف بيت السدو,الرياض,الرياض,خاص,تراثي,من السبت إلى الخميس,9:00 صباحًا - 6:00 مساءً,غير محدد,مجاني,لا
12,المعرض والمتحف الدولي للسيرة النبوية والحضارة الإسلامية,المدينة المنورة,المدينة المنورة,عام ,ثقافي,يوميًا,8:00 صباحًا - 10:30 مساءً,2021,مجاني,نعم
13,متحف يحي بن محفوظ سعيد عسيري للمواقع الاثرية,عسير,أبها,خاص,التراث الثقافي,يوميًا,9:00 صباحًا - 5:00 مساءً,غير محدد,مجاني,نعم
14,متحف نفحات الماضي,الرياض,الرياض,خاص,ثقافي وتاريخي,غير محدد,10:00 صباحًا - 10:00 مساءً,2009,مجاني,لا
15,متحف مصايف الجنوب للعرض المتحفي,عسير,خميس مشيط,خاص,ثقافي وتاريخي,غير محدد,9:00 صباحًا - 5:00 مساءً,1999,مجاني,لا
16,متحف المجمعة بقصر الربيعة,الرياض,المجمعة,عام,ثقافي وتاريخي,الخميس  | الجمعة | السبت,3:00 مساءً - 7:00 مساءً,1412,غير محدد,نعم
17,متحف الغاط,الرياض,الغاط,عام,ثقافي وتاريخي,يوميًا,9:00 صباحًا - 5:00 مساءً | الجمعة والسبت: 2:00 مساءً - 8:00 مساءً,1966,مجاني,نعم
18,متحف الفيصل للفن العربي الإسلامي,الرياض,الرياض,عام,الفن الإسلامي,من السبت إلى الخميس,9:00 صباحًا - 9:00 مساءً,1983,مجاني,لا
19,متحف بريدة,القصيم,بريدة,عام,ثقافي وتاريخي,من الأحد إلى الخميس,8:00 صباحًا - 2:00 مساءً,1999,مجاني,لا
20,متحف العملات في البنك المركزي السعودي,الرياض,الرياض,عام,متخصص,مغلق,مغلق,غير محدد,غير محدد,لا
21,متحف الدرعية التاريخي,الرياض,الدرعية,عام,التراث السعودي,يوميًا,5:00 مساءً - 2:00 صباحًا,غير محدد,مجاني من 9:00 صباحًا -  5:00 مساءً | 50 ريال من 5:00 مساءً ,نعم
22,متحف فيد,حائل,فيد,عام,علم الآثار,غير محدد,غير محدد,2009,مجاني,لا
23,متحف القنفذة العام,مكة المكرمة,القنفذة,عام,غير محدد,من الأحد إلى الخميس,8:00 صباحًا - 2:15 صباحًا,2001,غير محدد,لا
24,متحف سكة حديد الحجاز في تبوك,تبوك,تبوك,عام,ثقافي وتاريخي,من الأحد إلى الخميس,8:00 صباحًا - 3:00 مساءً,غير محدد,مجاني,لا
25,متحف سكة الحديد,المدينة المنورة,العلا,عام,ثقافي وتاريخي,يوميًا,24 ساعة,1998,10,نعم
26,متحف السكة الحديد بالمدينة المنورة,المدينة المنورة,المدينة المنورة,عام ,ثقافي وتاريخي,من السبت إلى الخميس,8:00 صباحًا - 1:00 مساءً | 4:00 مساءً - 9:00 مساءً,1998,10,لا
27,متحف الخيل العربية,الرياض,الدرعية,عام,التاريخ الطبيعي,غير محدد,10:00 صباحًا - 5:00 مساءً,2019,50,لا
28,بيت البيعة,المنطقة الشرقية ,الأحساء,عام ,متخصص,من السبت إلى الخميس,8:00 صباحًا - 4:00 مساءً,1789,مجاني,لا
29,"متحف الملك عبد العزيز الحربي, كلية الملك عبدالعزيز الحربية",الرياض,العيينة,عام,متخصص,من الأحد إلى الخميس,9:00 صباحًا - 7:00 مساءً,1955,غير محدد,لا
30,متحف مكتبة الملك فهد الوطنية,الرياض,الرياض,عام,ثقافي وتاريخي,يوميًا,8:00 صباحًا - 8:00 مساءً | الجمعة والسبت: 1:00 مساءً - 8:00 مساءً,1986,مجاني,نعم
31,متحف واحة الملك سلمان للعلوم,الرياض,الرياض,عام خاص,العلوم والتقنية,من السبت إلى الخميس,8:00 صباحًا - 9:00 مساءً | السبت: 10:00 صباحًا - 9:00 مساءً,1985,35,لا
32,قصر المصمك,الرياض,الرياض,عام,ثقافي وتاريخي,من السبت إلى الخميس,9:00 صباحًا - 12:00 مساءً | 4:00 مساءً - 9:00 مساءً,1996,مجاني,لا
33,المتحف الحربي,الرياض,الدرعية,عام,متخصص,غير محدد,غير محدد,2019,10,لا
34,قصر المربع,الرياض,الرياض,عام,ثقافي وتاريخي,من الأثنين إلى السبت,من الأثنين ألى الأربعاء: 9:00 صباحًا - 7:00 مساءً |الخميس: 9:00 صباحًا - 10:00 مساءً | الجمعة: 2:00 مساءً - 10:00 مساءً | السبت: 8:00 صباحًا - 2:00 مساءً,1936,مجاني,نعم
35,المتحف المفتوح,مكة المكرمة,جدة,عام,الفن,مغلق,مغلق,2013,5,لا
36,المدرسة الأميرية,المنطقة الشرقية ,الأحساء,عام ,متخصص,مغلق مؤقتاً,مغلق مؤقتاً,1937,50,لا
37,متحف قرية رجال المع,عسير,رجال ألمع,عام,التراث السعودي,يوميًا,9:00 صباحًا - 9:00 مساءً,1985,20,نعم
38,متحف صقر الجزيرة للطيران,الرياض,الرياض,عام,متخصص,يوميًا,8:00 صباحًا - 11:00 مساءً | 4:00 مساءً - 9:00 مساءً,1999,10,نعم
39,متحف شقراء التراثي,الرياض,شقراء,عام,ثقافي وتاريخي,يوميًا,4:00 مساءً - 10:00 مساءً,2017,غير محدد,نعم
40,متحف الحياة الاجتماعية,الرياض,الدرعية,عام,ثقافي وتاريخي,يوميًا,5:00 مساءً - 2:00 صباحًا,غير محدد,10,نعم
41,متحف العمارة التقليدية,الرياض,الدرعية,عام,متخصص,غير محدد,غير محدد,غير محدد,مجاني,لا
42,متحف هيئة الزكاة والضريبة والجمارك – فرع الدمام,المنطقة الشرقية ,الدمام,عام,متخصص,غير محدد,غير محدد,غير محدد,غير محدد,لا
43,متحف هيئة الزكاة والضريبة والجمارك,الرياض,الرياض,عام,متخصص,غير محدد,غير محدد,غير محدد,غير محدد,لا
44,مركز الملك عبدالعزيز الثقافي العالمي  إثراء,المنطقة الشرقية ,الظهران,القطاع الثالث,متعدد التخصصات,يوميًا,9:00 صباحًا - 11:00 مساءً | الجمعة: 4:00 مساءً - 11:00 مساءً,2016,مجاني,نعم
45, متحف الطفل إثراء,المنطقة الشرقية ,الظهران,القطاع الثالث,متخصص,يوميًا,9:00 صباحًا - 9:00 مساءً,غير محدد,للبالغين: 45 | الأطفال من 1 - 12: 20,نعم
46,متحف الآثار، جامعة الملك سعود,الرياض,الرياض,عام,علم الآثار,من السبت إلى الأربعاء,8:00 صباحًا - 2:00 مساءً,1959,10,لا
47,متحف كلية العلوم، جامعة الملك عبدالعزيز (الفيصلية),مكة المكرمة,جدة,عام,العلوم والتقنية,غير محدد,غير محدد,غير محدد,غير محدد,لا
